날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2024-01-11,사이다,칠성 PET병 1.5ℓ,2816,남구,2880,남구,64,2.27%,"2,848"
2024-01-11,설탕,백설표 정백당 1㎏,2380,남구,2380,남구,0,0.0%,"2,380"
2024-01-11,소주,시원소주 360㎖ 1병,1330,남구,1350,남구,20,1.5%,"1,340"
2024-01-11,쇠고기,한우등심 1등급 500g,59400,남구,72950,남구,13550,22.81%,"66,175"
2024-01-11,식용유,백설표콩기름1.8ℓ,6850,남구,6850,남구,0,0.0%,"6,850"
2024-01-11,쌀,정미포장미 20㎏,56900,남구,69900,남구,13000,22.85%,"63,400"
2024-01-11,양파,1.0㎏-잎없는것,1655,남구,3111,남구,1456,87.98%,"2,383"
2024-01-11,오징어,25cm정도 500g 2마리(냉동),6414,남구,15116,남구,8702,135.67%,"10,765"
2024-01-11,우유,부산우유 200㎖ 종이팩,1040,남구,1063,남구,23,2.21%,"1,052"
2024-01-11,참기름,오뚜기 320㎖ 1병,10600,남구,10600,남구,0,0.0%,"10,600"
2024-01-11,커피크림,동서 500g 리필용,2990,남구,3000,남구,10,0.33%,"2,995"
2024-01-11,콜라,코카콜라 PET병 1.8ℓ,1980,남구,3730,남구,1750,88.38%,"2,855"
2024-01-11,화장지,뽀삐플러스30m×30롤(3겹),31733,남구,34000,남구,2267,7.14%,"32,867"
2024-04-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",5625,남구,9675,남구,4050,72.0%,"7,650"
2024-04-11,간장,오복왕표 0.9ℓ 1병,5294,남구,7147,남구,1853,35.0%,"6,221"
2024-04-11,갈치,60cm정도 500g 1마리(냉동),5980,남구,9500,남구,3520,58.86%,"7,740"
2024-04-11,고등어,30㎝정도 500g 1마리,4975,남구,7142,남구,2167,43.56%,"6,059"
2024-04-11,달걀,오경슈퍼란60g정도 10개,3990,남구,4380,남구,390,9.77%,"4,185"
2024-04-11,닭고기,육계 1.0㎏,7990,남구,8725,남구,735,9.2%,"8,358"
2024-04-11,대파,1.0㎏,1484,남구,3655,남구,2171,146.29%,"2,570"
2024-04-11,돼지고기,삼겹살 500g,10950,남구,19400,남구,8450,77.17%,"15,175"
2024-04-11,두부,500g 판두부(국산포장두부 420g) 1모,3033,남구,6056,남구,3023,99.67%,"4,545"
2024-04-11,라면,신라면 120g 1봉지,780,남구,780,남구,0,0.0%,780
2024-04-11,맥주,하이트 500㎖ 1병,1660,남구,1820,남구,160,9.64%,"1,740"
2024-04-11,무,2.0㎏ 1개,3053,남구,3560,남구,507,16.61%,"3,307"
2024-04-11,밀가루,백설표 중력분1등2.5㎏,4420,남구,4600,남구,180,4.07%,"4,510"
2024-04-11,밀감,100g 정도10개,8320,남구,15544,남구,7224,86.83%,"11,932"
2024-04-11,배,600g 정도 신고 10개,40500,남구,65258,남구,24758,61.13%,"52,879"
2024-04-11,배추,2.0㎏ 1포기,2480,남구,3877,남구,1397,56.33%,"3,179"
2024-04-11,부엌용세제,참그린1.4㎏1봉리필용,7900,남구,8330,남구,430,5.44%,"8,115"
2024-04-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16450,남구,16480,남구,30,0.18%,"16,465"
2024-04-11,사과,300g정도 부사 10개,27800,남구,42475,남구,14675,52.79%,"35,138"
2024-04-11,사이다,칠성 PET병 1.5ℓ,2816,남구,2880,남구,64,2.27%,"2,848"
2024-04-11,설탕,백설표 정백당 1㎏,2260,남구,2380,남구,120,5.31%,"2,320"
2024-04-11,소주,시원소주 360㎖ 1병,1330,남구,1350,남구,20,1.5%,"1,340"
2024-04-11,쇠고기,한우등심 1등급 500g,56900,남구,64950,남구,8050,14.15%,"60,925"
2024-04-11,식용유,백설표콩기름1.8ℓ,6850,남구,6850,남구,0,0.0%,"6,850"
2024-04-11,쌀,정미포장미 20㎏,44900,남구,47900,남구,3000,6.68%,"46,400"
2024-04-11,양파,1.0㎏-잎없는것,2655,남구,3111,남구,456,17.18%,"2,883"
2024-04-11,오징어,25cm정도 500g 2마리(냉동),7000,남구,13815,남구,6815,97.36%,"10,408"
2024-04-11,우유,부산우유 200㎖ 종이팩,1040,남구,1063,남구,23,2.21%,"1,052"
2024-04-11,참기름,오뚜기 320㎖ 1병,10600,남구,10600,남구,0,0.0%,"10,600"
2024-04-11,커피크림,동서 500g 리필용,2990,남구,3000,남구,10,0.33%,"2,995"
2024-04-11,콜라,코카콜라 PET병 1.8ℓ,2380,남구,2630,남구,250,10.5%,"2,505"
2024-04-11,화장지,뽀삐플러스30m×30롤(3겹),31733,남구,34000,남구,2267,7.14%,"32,867"
2024-07-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8925,남구,9675,남구,750,8.4%,"9,300"
2024-07-11,간장,오복왕표 0.9ℓ 1병,7147,남구,9684,남구,2537,35.5%,"8,416"
2024-07-11,갈치,60cm정도 500g 1마리(냉동),3980,남구,13200,남구,9220,231.66%,"8,590"
2024-07-11,고등어,30㎝정도 500g 1마리,4350,남구,6250,남구,1900,43.68%,"5,300"
2024-07-11,달걀,오경슈퍼란60g정도 10개,3990,남구,4380,남구,390,9.77%,"4,185"
2024-07-11,닭고기,육계 1.0㎏,8725,남구,8990,남구,265,3.04%,"8,858"
2024-07-11,대파,1.0㎏,2580,남구,3544,남구,964,37.36%,"3,062"
2024-07-11,돼지고기,삼겹살 500g,12450,남구,26900,남구,14450,116.06%,"19,675"
2024-07-11,두부,500g 판두부(국산포장두부 420g) 1모,3033,남구,6056,남구,3023,99.67%,"4,545"
2024-07-11,라면,신라면 120g 1봉지,780,남구,780,남구,0,0.0%,780
2024-07-11,맥주,하이트 500㎖ 1병,1660,남구,1820,남구,160,9.64%,"1,740"
2024-07-11,무,2.0㎏ 1개,2990,남구,4360,남구,1370,45.82%,"3,675"
2024-07-11,밀가루,백설표 중력분1등2.5㎏,4290,남구,4420,남구,130,3.03%,"4,355"
2024-07-11,밀감,100g 정도10개,9214,남구,9991,남구,777,8.43%,"9,603"
2024-07-11,배,600g 정도 신고 10개,95960,남구,99500,남구,3540,3.69%,"97,730"
2024-07-11,배추,2.0㎏ 1포기,3280,남구,5490,남구,2210,67.38%,"4,385"
2024-07-11,부엌용세제,참그린1.4㎏1봉리필용,8330,남구,9500,남구,1170,14.05%,"8,915"
2024-07-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16450,남구,16480,남구,30,0.18%,"16,465"
2024-07-11,사과,300g정도 부사 10개,23800,남구,38970,남구,15170,63.74%,"31,385"
2024-07-11,사이다,칠성 PET병 1.5ℓ,2880,남구,3066,남구,186,6.46%,"2,973"
2024-07-11,설탕,백설표 정백당 1㎏,2330,남구,2330,남구,0,0.0%,"2,330"
2024-07-11,소주,시원소주 360㎖ 1병,1330,남구,1350,남구,20,1.5%,"1,340"
2024-07-11,쇠고기,한우등심 1등급 500g,49900,남구,59500,남구,9600,19.24%,"54,700"
2024-07-11,식용유,백설표콩기름1.8ℓ,8480,남구,8480,남구,0,0.0%,"8,480"
2024-07-11,쌀,정미포장미 20㎏,49900,남구,64900,남구,15000,30.06%,"57,400"
2024-07-11,양파,1.0㎏-잎없는것,1933,남구,2052,남구,119,6.16%,"1,993"
2024-07-11,오징어,25cm정도 500g 2마리(냉동),5980,남구,13111,남구,7131,119.25%,"9,546"
2024-07-11,우유,부산우유 200㎖ 종이팩,1040,남구,1063,남구,23,2.21%,"1,052"
2024-07-11,참기름,오뚜기 320㎖ 1병,10600,남구,10600,남구,0,0.0%,"10,600"
2024-07-11,커피크림,동서 500g 리필용,2990,남구,3000,남구,10,0.33%,"2,995"
2024-07-11,콜라,코카콜라 PET병 1.8ℓ,2380,남구,3730,남구,1350,56.72%,"3,055"
2024-07-11,화장지,뽀삐플러스30m×30롤(3겹),23333,남구,24900,남구,1567,6.72%,"24,117"
2024-10-17,가루비누,"세탁용세제(LG테크),가루형,3.0kg",9675,남구,9675,남구,0,0.0%,"9,675"
2024-10-17,간장,오복왕표 0.9ℓ 1병,7888,남구,9684,남구,1796,22.77%,"8,786"
2024-10-17,갈치,60cm정도 500g 1마리(냉동),5980,남구,13200,남구,7220,120.74%,"9,590"
2024-10-17,고등어,30㎝정도 500g 1마리,3980,남구,6875,남구,2895,72.74%,"5,428"
2024-10-17,달걀,오경슈퍼란60g정도 10개,3990,남구,4380,남구,390,9.77%,"4,185"
2024-10-17,닭고기,육계 1.0㎏,7990,남구,9100,남구,1110,13.89%,"8,545"
2024-10-17,대파,1.0㎏,2980,남구,3322,남구,342,11.48%,"3,151"
2024-10-17,돼지고기,삼겹살 500g,13950,남구,21900,남구,7950,56.99%,"17,925"
2024-10-17,두부,500g 판두부(국산포장두부 420g) 1모,3033,남구,6056,남구,3023,99.67%,"4,545"
2024-10-17,라면,신라면 120g 1봉지,780,남구,780,남구,0,0.0%,780
2024-10-17,맥주,하이트 500㎖ 1병,1660,남구,1920,남구,260,15.66%,"1,790"
2024-10-17,무,2.0㎏ 1개,3990,남구,6960,남구,2970,74.44%,"5,475"
2024-10-17,밀가루,백설표 중력분1등2.5㎏,3860,남구,4420,남구,560,14.51%,"4,140"
2024-10-17,밀감,100g 정도10개,5196,남구,8500,남구,3304,63.59%,"6,848"
2024-10-17,배,600g 정도 신고 10개,28560,남구,31142,남구,2582,9.04%,"29,851"
2024-10-17,배추,2.0㎏ 1포기,8700,남구,9990,남구,1290,14.83%,"9,345"
2024-10-17,부엌용세제,참그린1.4㎏1봉리필용,6900,남구,8330,남구,1430,20.72%,"7,615"
2024-10-17,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16450,남구,16480,남구,30,0.18%,"16,465"
2024-10-17,사과,300g정도 부사 10개,19833,남구,37475,남구,17642,88.95%,"28,654"
2024-10-17,사이다,칠성 PET병 1.5ℓ,2880,남구,3066,남구,186,6.46%,"2,973"
2024-10-17,설탕,백설표 정백당 1㎏,2330,남구,2330,남구,0,0.0%,"2,330"
2024-10-17,소주,시원소주 360㎖ 1병,1330,남구,1350,남구,20,1.5%,"1,340"
2024-10-17,쇠고기,한우등심 1등급 500g,59400,남구,69500,남구,10100,17.0%,"64,450"
2024-10-17,식용유,백설표콩기름1.8ℓ,8480,남구,8480,남구,0,0.0%,"8,480"
2024-10-17,쌀,정미포장미 20㎏,49900,남구,72900,남구,23000,46.09%,"61,400"
2024-10-17,양파,1.0㎏-잎없는것,2211,남구,2347,남구,136,6.15%,"2,279"
2024-10-17,오징어,25cm정도 500g 2마리(냉동),7475,남구,13750,남구,6275,83.95%,"10,613"
2024-10-17,우유,부산우유 200㎖ 종이팩,1040,남구,1063,남구,23,2.21%,"1,052"
2024-10-17,참기름,오뚜기 320㎖ 1병,11880,남구,11880,남구,0,0.0%,"11,880"
2024-10-17,커피크림,동서 500g 리필용,2990,남구,3000,남구,10,0.33%,"2,995"
2024-10-17,콜라,코카콜라 PET병 1.8ℓ,2680,남구,2890,남구,210,7.84%,"2,785"
2024-10-17,화장지,뽀삐플러스30m×30롤(3겹),15000,남구,31733,남구,16733,111.55%,"23,367"
